"condition","Iteration","InSampleError","Error","Model"
0,72,0.362645729109516,0.348003327787286,"Baseline"
0,73,0.367828439013441,0.34318635607352,"Baseline"
0,74,0.357363351707428,0.353119800332992,"Baseline"
0,75,0.355580410907146,0.354891846921997,"Baseline"
0,76,0.350165143507517,0.360407653910301,"Baseline"
0,77,0.362645729109516,0.348003327787286,"Baseline"
0,78,0.351981306807188,0.35853577371065,"Baseline"
0,79,0.359135218341252,0.351381031614206,"Baseline"
0,80,0.348337906041387,0.362312811980172,"Baseline"
0,81,0.350165143507517,0.360407653910301,"Baseline"
0,82,0.357363351707428,0.353119800332992,"Baseline"
0,83,0.353786395940396,0.356697171381213,"Baseline"
0,84,0.350165143507517,0.360407653910301,"Baseline"
0,85,0.353786395940396,0.356697171381213,"Baseline"
0,86,0.369533860648491,0.341647254576029,"Baseline"
0,87,0.342789748644224,0.36822795341108,"Baseline"
0,88,0.351981306807189,0.35853577371065,"Baseline"
0,89,0.355580410907146,0.354891846921997,"Baseline"
0,90,0.342789748644224,0.36822795341108,"Baseline"
0,91,0.366111943211928,0.344758735441226,"Baseline"
0,92,0.350165143507517,0.360407653910301,"Baseline"
0,93,0.360896010808616,0.349675540765639,"Baseline"
0,94,0.353786395940396,0.356697171381213,"Baseline"
0,95,0.355580410907146,0.354891846921997,"Baseline"
0,96,0.355580410907146,0.354891846921997,"Baseline"
0,97,0.366111943211929,0.344758735441227,"Baseline"
0,98,0.359135218341252,0.351381031614206,"Baseline"
0,99,0.371228208117081,0.340141430948755,"Baseline"
0,100,0.348337906041387,0.362312811980172,"Baseline"
0,1,0.426684808354901,0.421631768718887,"Exponential"
0,2,0.424785670590348,0.415171775622809,"Exponential"
0,3,0.41802700138528,0.427945111677237,"Exponential"
0,4,0.429015248283988,0.421878731481703,"Exponential"
0,5,0.429679534221787,0.421427901118013,"Exponential"
0,6,0.422387068001007,0.417562563801124,"Exponential"
0,7,0.424467222850821,0.431028265799825,"Exponential"
0,8,0.420929969976957,0.428471832028056,"Exponential"
0,9,0.41482723383755,0.41769822327447,"Exponential"
0,10,0.412405904907141,0.427831253192763,"Exponential"
0,11,0.420038272832964,0.420141324829424,"Exponential"
0,12,0.424292167443138,0.423126971084127,"Exponential"
0,13,0.432810235821832,0.417436038274293,"Exponential"
0,14,0.424472820322282,0.417164067100833,"Exponential"
0,15,0.427381040784701,0.421986308301703,"Exponential"
0,16,0.433399209222019,0.417886859731309,"Exponential"
0,17,0.5000000000001,0.500000000000139,"Exponential"
0,18,0.42960898514062,0.410598338451875,"Exponential"
0,19,0.425942010456682,0.422889727002216,"Exponential"
0,20,0.416500455735907,0.4176288902285,"Exponential"
0,21,0.419646518648177,0.416720428214288,"Exponential"
0,22,0.423623808149772,0.422930380655123,"Exponential"
