Question;Condition;X1;X2;T1;T2;LaterOptionChosen
4;2;5;15;2;6;1
4;2;5;15;2;6;1
4;2;5;15;2;6;1
4;;5;15;2;6;
4;;5;15;2;6;
4;;5;15;2;6;
4;;5;15;2;6;
4;;5;15;2;6;
4;;5;15;2;6;
4;;5;15;2;6;
4;;5;15;2;6;
4;;5;15;2;6;
4;;5;15;2;6;
4;;5;15;2;6;
4;;5;15;2;6;
4;;5;15;2;6;
4;;5;15;2;6;
4;;5;15;2;6;
4;3;5;15;2;6;1
4;3;5;15;2;6;1
4;3;5;15;2;6;1
4;3;5;15;2;6;0
4;3;5;15;2;6;1
4;3;5;15;2;6;1
4;;5;15;2;6;
4;;5;15;2;6;
4;;5;15;2;6;
4;;5;15;2;6;
4;;5;15;2;6;
4;;5;15;2;6;
4;;5;15;2;6;
4;;5;15;2;6;
4;;5;15;2;6;
4;;5;15;2;6;
4;;5;15;2;6;
4;;5;15;2;6;
4;;5;15;2;6;
4;;5;15;2;6;
4;;5;15;2;6;
4;;5;15;2;6;
4;;5;15;2;6;
4;;5;15;2;6;
4;4;5;15;2;6;1
4;4;5;15;2;6;1
4;4;5;15;2;6;1
4;4;5;15;2;6;1
4;4;5;15;2;6;1
4;4;5;15;2;6;1
4;4;5;15;2;6;1
4;;5;15;2;6;
4;;5;15;2;6;
5;1;4;12;2;6;1
5;1;4;12;2;6;0
5;1;4;12;2;6;0
5;1;4;12;2;6;1
5;1;4;12;2;6;0
5;1;4;12;2;6;0
5;1;4;12;2;6;0
5;1;4;12;2;6;1
5;1;4;12;2;6;0
5;;4;12;2;6;
5;;4;12;2;6;
5;;4;12;2;6;
5;;4;12;2;6;
5;;4;12;2;6;
5;;4;12;2;6;
5;;4;12;2;6;
5;;4;12;2;6;
5;;4;12;2;6;
5;;4;12;2;6;
5;;4;12;2;6;
5;;4;12;2;6;
5;;4;12;2;6;
5;;4;12;2;6;
5;2;4;12;2;6;1
5;2;4;12;2;6;1
5;2;4;12;2;6;1
5;2;4;12;2;6;0
5;;4;12;2;6;
5;;4;12;2;6;
5;;4;12;2;6;
5;;4;12;2;6;
5;;4;12;2;6;
5;;4;12;2;6;
5;;4;12;2;6;
5;;4;12;2;6;
5;;4;12;2;6;
5;;4;12;2;6;
5;;4;12;2;6;
5;;4;12;2;6;
5;;4;12;2;6;
5;;4;12;2;6;
5;;4;12;2;6;
5;3;4;12;2;6;1
5;3;4;12;2;6;1
5;3;4;12;2;6;1
5;3;4;12;2;6;0
5;3;4;12;2;6;1
5;3;4;12;2;6;1
5;;4;12;2;6;
5;;4;12;2;6;
5;;4;12;2;6;
5;;4;12;2;6;
5;;4;12;2;6;
5;;4;12;2;6;
5;;4;12;2;6;
5;;4;12;2;6;
5;;4;12;2;6;
5;;4;12;2;6;
5;;4;12;2;6;
5;;4;12;2;6;
5;;4;12;2;6;
5;;4;12;2;6;
5;;4;12;2;6;
5;;4;12;2;6;
5;;4;12;2;6;
5;;4;12;2;6;
5;4;4;12;2;6;1
5;4;4;12;2;6;1
5;4;4;12;2;6;1
5;4;4;12;2;6;1
5;4;4;12;2;6;1
5;4;4;12;2;6;1
5;4;4;12;2;6;1
5;;4;12;2;6;
5;;4;12;2;6;
6;1;1;4;2;6;0
6;1;1;4;2;6;1
6;1;1;4;2;6;1
6;1;1;4;2;6;0
6;1;1;4;2;6;0
6;1;1;4;2;6;0
6;1;1;4;2;6;1
6;1;1;4;2;6;1
6;1;1;4;2;6;1
6;;1;4;2;6;
6;;1;4;2;6;
6;;1;4;2;6;
6;;1;4;2;6;
6;;1;4;2;6;
6;;1;4;2;6;
6;;1;4;2;6;
6;;1;4;2;6;
6;;1;4;2;6;
6;;1;4;2;6;
6;;1;4;2;6;
6;;1;4;2;6;
6;;1;4;2;6;
6;;1;4;2;6;
6;2;1;4;2;6;1
6;2;1;4;2;6;1
6;2;1;4;2;6;1
6;2;1;4;2;6;0
6;;1;4;2;6;
6;;1;4;2;6;
6;;1;4;2;6;
6;;1;4;2;6;
6;;1;4;2;6;
6;;1;4;2;6;
6;;1;4;2;6;
6;;1;4;2;6;
6;;1;4;2;6;
6;;1;4;2;6;
6;;1;4;2;6;
6;;1;4;2;6;
6;;1;4;2;6;
6;;1;4;2;6;
6;;1;4;2;6;
6;3;1;4;2;6;1
6;3;1;4;2;6;1
6;3;1;4;2;6;1
6;3;1;4;2;6;1
6;3;1;4;2;6;1
6;3;1;4;2;6;1
6;;1;4;2;6;0
6;;1;4;2;6;
6;;1;4;2;6;
6;;1;4;2;6;
6;;1;4;2;6;
6;;1;4;2;6;
6;;1;4;2;6;
6;;1;4;2;6;
6;;1;4;2;6;
6;;1;4;2;6;
6;;1;4;2;6;
6;;1;4;2;6;
6;;1;4;2;6;
6;;1;4;2;6;
6;;1;4;2;6;
6;;1;4;2;6;
6;;1;4;2;6;
6;;1;4;2;6;
6;4;1;4;2;6;0
6;4;1;4;2;6;1
6;4;1;4;2;6;1
6;4;1;4;2;6;1
6;4;1;4;2;6;1
6;4;1;4;2;6;1
6;4;1;4;2;6;1
6;;1;4;2;6;
6;;1;4;2;6;
7;1;7;14;2;6;1
7;1;7;14;2;6;1
7;1;7;14;2;6;1
7;1;7;14;2;6;1
7;1;7;14;2;6;0
7;1;7;14;2;6;0
7;1;7;14;2;6;1
7;;7;14;2;6;1
7;;7;14;2;6;1
7;;7;14;2;6;
7;;7;14;2;6;
7;;7;14;2;6;
7;;7;14;2;6;
7;;7;14;2;6;
7;;7;14;2;6;
7;;7;14;2;6;
7;;7;14;2;6;
7;;7;14;2;6;
7;;7;14;2;6;
7;;7;14;2;6;
7;;7;14;2;6;
7;;7;14;2;6;
7;;7;14;2;6;
7;2;7;14;2;6;1
7;2;7;14;2;6;1
7;2;7;14;2;6;1
7;2;7;14;2;6;0
7;;7;14;2;6;
7;;7;14;2;6;
7;;7;14;2;6;
7;;7;14;2;6;
7;;7;14;2;6;
7;;7;14;2;6;
7;;7;14;2;6;
7;;7;14;2;6;
7;;7;14;2;6;
7;;7;14;2;6;
7;;7;14;2;6;
7;;7;14;2;6;
7;;7;14;2;6;
7;;7;14;2;6;
7;;7;14;2;6;
7;3;7;14;2;6;1
7;3;7;14;2;6;1
7;3;7;14;2;6;1
7;3;7;14;2;6;0
7;3;7;14;2;6;1
7;3;7;14;2;6;1
7;3;7;14;2;6;0
7;;7;14;2;6;
7;;7;14;2;6;
7;;7;14;2;6;
7;;7;14;2;6;
7;;7;14;2;6;
7;;7;14;2;6;
7;;7;14;2;6;
7;;7;14;2;6;
7;;7;14;2;6;
7;;7;14;2;6;
7;;7;14;2;6;
7;;7;14;2;6;
7;;7;14;2;6;
7;;7;14;2;6;
7;;7;14;2;6;
7;;7;14;2;6;
7;;7;14;2;6;
7;4;7;14;2;6;1
7;4;7;14;2;6;1
7;4;7;14;2;6;1
7;4;7;14;2;6;1
7;4;7;14;2;6;1
7;4;7;14;2;6;1
7;4;7;14;2;6;1
7;;7;14;2;6;
7;;7;14;2;6;
8;1;8;10;2;6;0
8;1;8;10;2;6;0
8;1;8;10;2;6;1
8;1;8;10;2;6;0
8;1;8;10;2;6;0
8;1;8;10;2;6;0
8;1;8;10;2;6;0
8;1;8;10;2;6;0
8;1;8;10;2;6;1
8;;8;10;2;6;
8;;8;10;2;6;
8;;8;10;2;6;
8;;8;10;2;6;
8;;8;10;2;6;
8;;8;10;2;6;
8;;8;10;2;6;
8;;8;10;2;6;
8;;8;10;2;6;
8;;8;10;2;6;
8;;8;10;2;6;
8;;8;10;2;6;
8;;8;10;2;6;
8;;8;10;2;6;
8;2;8;10;2;6;0
8;2;8;10;2;6;1
8;2;8;10;2;6;1
8;2;8;10;2;6;0
8;;8;10;2;6;
8;;8;10;2;6;
8;;8;10;2;6;
8;;8;10;2;6;
8;;8;10;2;6;
